numberOfInstances,combination,nodeName,podName,energyConsumption
7,2kind-worker-5kind-worker2,kind-worker2,instances7-2kind-worker-5kind-worker2-pod6,152.304
7,2kind-worker-5kind-worker2,kind-worker2,instances7-2kind-worker-5kind-worker2-pod7,154.614
7,1kind-worker-6kind-worker2,kind-worker,instances7-1kind-worker-6kind-worker2-pod1,142.419
7,1kind-worker-6kind-worker2,kind-worker2,instances7-1kind-worker-6kind-worker2-pod2,155.121
7,1kind-worker-6kind-worker2,kind-worker2,instances7-1kind-worker-6kind-worker2-pod3,154.155
7,1kind-worker-6kind-worker2,kind-worker2,instances7-1kind-worker-6kind-worker2-pod4,156.279
7,1kind-worker-6kind-worker2,kind-worker2,instances7-1kind-worker-6kind-worker2-pod5,154.101
7,1kind-worker-6kind-worker2,kind-worker2,instances7-1kind-worker-6kind-worker2-pod6,154.488
7,1kind-worker-6kind-worker2,kind-worker2,instances7-1kind-worker-6kind-worker2-pod7,155.679
7,0kind-worker-7kind-worker2,kind-worker2,instances7-0kind-worker-7kind-worker2-pod1,154.896
7,0kind-worker-7kind-worker2,kind-worker2,instances7-0kind-worker-7kind-worker2-pod2,154.455
7,0kind-worker-7kind-worker2,kind-worker2,instances7-0kind-worker-7kind-worker2-pod3,154.434
7,0kind-worker-7kind-worker2,kind-worker2,instances7-0kind-worker-7kind-worker2-pod4,153.252
7,0kind-worker-7kind-worker2,kind-worker2,instances7-0kind-worker-7kind-worker2-pod5,154.23
7,0kind-worker-7kind-worker2,kind-worker2,instances7-0kind-worker-7kind-worker2-pod6,153.912
7,0kind-worker-7kind-worker2,kind-worker2,instances7-0kind-worker-7kind-worker2-pod7,154.116
8,8kind-worker-0kind-worker2,kind-worker,instances8-8kind-worker-0kind-worker2-pod1,155.421
8,8kind-worker-0kind-worker2,kind-worker,instances8-8kind-worker-0kind-worker2-pod2,154.245
8,8kind-worker-0kind-worker2,kind-worker,instances8-8kind-worker-0kind-worker2-pod3,154.134
8,8kind-worker-0kind-worker2,kind-worker,instances8-8kind-worker-0kind-worker2-pod4,155.787
8,8kind-worker-0kind-worker2,kind-worker,instances8-8kind-worker-0kind-worker2-pod5,154.407
8,8kind-worker-0kind-worker2,kind-worker,instances8-8kind-worker-0kind-worker2-pod6,154.968
8,8kind-worker-0kind-worker2,kind-worker,instances8-8kind-worker-0kind-worker2-pod7,155.715
8,8kind-worker-0kind-worker2,kind-worker,instances8-8kind-worker-0kind-worker2-pod8,151.173
8,7kind-worker-1kind-worker2,kind-worker,instances8-7kind-worker-1kind-worker2-pod1,154.491
8,7kind-worker-1kind-worker2,kind-worker,instances8-7kind-worker-1kind-worker2-pod2,149.871
8,7kind-worker-1kind-worker2,kind-worker,instances8-7kind-worker-1kind-worker2-pod3,150.774
8,7kind-worker-1kind-worker2,kind-worker,instances8-7kind-worker-1kind-worker2-pod4,152.571
8,7kind-worker-1kind-worker2,kind-worker,instances8-7kind-worker-1kind-worker2-pod5,153.372
8,7kind-worker-1kind-worker2,kind-worker,instances8-7kind-worker-1kind-worker2-pod6,148.422
8,7kind-worker-1kind-worker2,kind-worker,instances8-7kind-worker-1kind-worker2-pod7,152.931
8,7kind-worker-1kind-worker2,kind-worker2,instances8-7kind-worker-1kind-worker2-pod8,144.729
8,6kind-worker-2kind-worker2,kind-worker,instances8-6kind-worker-2kind-worker2-pod1,153.408
8,6kind-worker-2kind-worker2,kind-worker,instances8-6kind-worker-2kind-worker2-pod2,154.404
8,6kind-worker-2kind-worker2,kind-worker,instances8-6kind-worker-2kind-worker2-pod3,152.874
8,6kind-worker-2kind-worker2,kind-worker,instances8-6kind-worker-2kind-worker2-pod4,153.282
8,6kind-worker-2kind-worker2,kind-worker,instances8-6kind-worker-2kind-worker2-pod5,152.856
8,6kind-worker-2kind-worker2,kind-worker,instances8-6kind-worker-2kind-worker2-pod6,154.194
8,6kind-worker-2kind-worker2,kind-worker2,instances8-6kind-worker-2kind-worker2-pod7,134.358
8,6kind-worker-2kind-worker2,kind-worker2,instances8-6kind-worker-2kind-worker2-pod8,142.482
8,5kind-worker-3kind-worker2,kind-worker,instances8-5kind-worker-3kind-worker2-pod1,153.621
8,5kind-worker-3kind-worker2,kind-worker,instances8-5kind-worker-3kind-worker2-pod2,153.963
8,5kind-worker-3kind-worker2,kind-worker,instances8-5kind-worker-3kind-worker2-pod3,153.801
8,5kind-worker-3kind-worker2,kind-worker,instances8-5kind-worker-3kind-worker2-pod4,156.837
8,5kind-worker-3kind-worker2,kind-worker,instances8-5kind-worker-3kind-worker2-pod5,148.59
8,5kind-worker-3kind-worker2,kind-worker2,instances8-5kind-worker-3kind-worker2-pod6,134.562
8,5kind-worker-3kind-worker2,kind-worker2,instances8-5kind-worker-3kind-worker2-pod7,133.437
8,5kind-worker-3kind-worker2,kind-worker2,instances8-5kind-worker-3kind-worker2-pod8,149.982
