schedulingType,numberOfInstances,podName,nodeName,energyConsumption
Standard,10,standard-pod-10,kind-worker,151.968
EnergyAware,10,energy-aware-pod-1,kind-worker,164.415
EnergyAware,10,energy-aware-pod-2,kind-worker2,151.929
EnergyAware,10,energy-aware-pod-3,kind-worker2,136.734
EnergyAware,10,energy-aware-pod-4,kind-worker,164.838
EnergyAware,10,energy-aware-pod-5,kind-worker2,119.634
EnergyAware,10,energy-aware-pod-6,kind-worker,162.303
EnergyAware,10,energy-aware-pod-7,kind-worker2,127.185
EnergyAware,10,energy-aware-pod-8,kind-worker2,155.097
EnergyAware,10,energy-aware-pod-9,kind-worker,162.729
EnergyAware,10,energy-aware-pod-10,kind-worker2,137.664
schedulingType,numberOfInstances,podName,nodeName,energyConsumption
Standard,1,standard-pod-1,kind-worker2,151.878
EnergyAware,1,energy-aware-pod-1,kind-worker,141.066
Standard,2,standard-pod-1,kind-worker2,149.601
Standard,2,standard-pod-2,kind-worker,103.278
EnergyAware,2,energy-aware-pod-1,kind-worker,147.552
EnergyAware,2,energy-aware-pod-2,kind-worker2,83.139
Standard,3,standard-pod-1,kind-worker2,97.773
Standard,3,standard-pod-2,kind-worker,142.362
Standard,3,standard-pod-3,kind-worker2,136.449
EnergyAware,3,energy-aware-pod-1,kind-worker,106.959
EnergyAware,3,energy-aware-pod-2,kind-worker2,135.588
EnergyAware,3,energy-aware-pod-3,kind-worker2,144.39
Standard,4,standard-pod-1,kind-worker2,104.046
Standard,4,standard-pod-2,kind-worker,142.704
Standard,4,standard-pod-3,kind-worker2,134.094
Standard,4,standard-pod-4,kind-worker,142.149
EnergyAware,4,energy-aware-pod-1,kind-worker,141.891
EnergyAware,4,energy-aware-pod-2,kind-worker2,136.209
EnergyAware,4,energy-aware-pod-3,kind-worker2,130.728
EnergyAware,4,energy-aware-pod-4,kind-worker,139.149
Standard,5,standard-pod-1,kind-worker2,141.471
Standard,5,standard-pod-2,kind-worker,139.71
Standard,5,standard-pod-3,kind-worker2,117.27
Standard,5,standard-pod-4,kind-worker,141.771
Standard,5,standard-pod-5,kind-worker2,132.981
EnergyAware,5,energy-aware-pod-1,kind-worker,143.595
EnergyAware,5,energy-aware-pod-2,kind-worker2,139.926
EnergyAware,5,energy-aware-pod-3,kind-worker2,140.619
EnergyAware,5,energy-aware-pod-4,kind-worker,142.422
EnergyAware,5,energy-aware-pod-5,kind-worker2,124.695
schedulingType,numberOfInstances,podName,nodeName,energyConsumption
schedulingType,numberOfInstances,podName,nodeName,energyConsumption
